PLAN DE ESTUDIOS - ESCUELA: FRNR-EPIF - CÓDIGO: IF05-2020

IF05-2020 | 202 | Créditos: 
05 - PLAN DE ESTUDIOS ING. FORESTAL 2020 | 10 | Créditos: 
INGENIERIA FORESTAL | 3 | Créditos: 
N° 240-2019-CU-R-UNAS | 0 | Créditos: 
- | 215 | Créditos: 
BI010101 | MATEMATICA BASICA | Créditos: 4
BI010102 | FISICA I | Créditos: 4
BI010103 | QUIMICA GENERAL | Créditos: 4
BI010105 | BIOLOGIA GENERAL | Créditos: 4
BI010108 | LENGUAJE Y REDACCION GENERAL | Créditos: 3
IF050101 | INTRODUCCIÓN A LA INGENIERÍA FORESTAL | Créditos: 2
IF050102 | SUPERVIVENCIA EN LA SELVA | Créditos: 1
BI010201 | MATEMATICA I | Créditos: 4
BI010202 | FISICA II | Créditos: 3
BI010203 | QUIMICA ORGANICA | Créditos: 4
IF050201 | DIBUJO ASISTIDO POR COMPUTAODRA | Créditos: 2
IF050202 | EDAFOLOGÍA | Créditos: 3
IF050203 | MANEJO DE HERRAMIENTAS Y EQUIPOS FORESTALES | Créditos: 1
IF050204 | RECURSOS FORESTALES Y DE FAUNA SILVESTRE | Créditos: 3
IF050205 | ACTIVIDAD CÍVICO - COMUNITARIA | Créditos: 1
BI010109 | CULTURA DE PAZ Y DEFENSA NACIONAL | Créditos: 3
BI010301 | MATEMATICA II | Créditos: 4
IF050301 | BIOQUIMICA | Créditos: 3
IF050302 | METEOROLOGÍA Y CLIMATOLOGÍA | Créditos: 3
IF050303 | SISTEMATICA FORESTAL | Créditos: 3
IF050304 | TOPOGRAFÍA GENERAL | Créditos: 4
IF050305 | ACTIVIDAD FÍSICO - DEPORTIVA | Créditos: 1
BI010104 | ESTADISTICA GENERAL | Créditos: 4
IF050401 | CARTOGRAFÍA FORESTAL | Créditos: 3
IF050402 | DENDROLOGÍA | Créditos: 3
IF050403 | ELEMENTOS DE SILVICULTURA | Créditos: 3
IF050404 | FISIOLOGÍA VEGETAL | Créditos: 3
IF050405 | MENSURA FORESTAL | Créditos: 4
BI010107 | ECONOMIA GENERAL | Créditos: 3
IF050501 | ANATOMÍA DE MATERIALES LIGNOCELULÓSICOS | Créditos: 3
IF050502 | GESTIÓN DE ESPACIOS NATURALES PROTEGIDOS | Créditos: 3
IF050503 | MAQUINARÍA Y EQUIPOS FORESTALES | Créditos: 4
IF050504 | QUIMICA FORESTAL | Créditos: 3
IF050505 | ECOLOGÍA FORESTAL | Créditos: 3
IF050506 | SISTEMAS DE INFORMACIÓN GEOGRÁFICA | Créditos: 4
IF050601 | ECONOMÍA FORESTAL | Créditos: 3
IF050602 | GENÉTICA FORESTAL | Créditos: 3
IF050603 | HIDROLOGÍA FORESTAL | Créditos: 3
IF050604 | METODOS ESTADISTICOS | Créditos: 3
IF050605 | PROPIEDADES FISICOMECÁNICAS DE LA MADERA | Créditos: 3
IF050606 | RESTAURACIÓN DE ECOSISTEMAS | Créditos: 3
IF050607 | TELEDETECCIÓN Y FOTOGRAMETRÍA FORESTAL | Créditos: 3
IF050701 | APROVECHAMIENTO FORESTAL | Créditos: 3
IF050702 | ENTOMOLOGÍA FORESTAL | Créditos: 3
IF050703 | REDACCIÓN TÉCNICA FORESTAL | Créditos: 3
IF050704 | RESISTENCIA DE MATERIALES LIGNOCELULÓSICOS | Créditos: 3
IF050705 | SECADO Y PRESERVADO DE LA MADERA | Créditos: 3
IF050706 | SOCIOLOGÍA RURAL Y AMAZÓNICA | Créditos: 3
IF050707 | VALORACIÓN FORESTAL | Créditos: 3
IF050708 | ACTIVIDAD ARTÍSTICA - CULTURAL | Créditos: 1
IF050801 | INGENIERÍA DE LOS PRODUCTOS FORESTALES | Créditos: 3
IF050802 | INVENTRIO FORESTAL | Créditos: 3
IF050803 | LEGISLACIÓN Y ADMINISTRACIÓN FORESTAL | Créditos: 3
IF050804 | MANEJO FORESTAL | Créditos: 3
IF050805 | METODOLOGÍA DE LA INVESTIGACIÓN CIENTÍFICA | Créditos: 3
IF050806 | PATOLOGÍA FORESTAL | Créditos: 3
IF050807 | ELECTIVO I | Créditos: 2
IF050901 | BIOTECNOLOGÍA FORESTAL | Créditos: 3
IF050902 | EDUCACIÓN Y EXTENSIÓN RURAL | Créditos: 2
IF050903 | FORMULACIÓN Y EVALUACIÓN DE PROYECTOS FORESTALES | Créditos: 3
IF050904 | GESTIÓN DE LOS RECURSOS FORESTALES | Créditos: 3
IF050905 | INDUSTRIAS DE TRANSFORMACIÓN MECÁNICA DE LA MADERA | Créditos: 3
IF050906 | INGLES TÉCNICO | Créditos: 2
IF050907 | SISTEMAS AGROFORESTALES | Créditos: 3
IF050908 | ELECTIVO II | Créditos: 2
IF051001 | ANÁLISIS DE COSTOS UNITARIOS DE PROYECTOS FORESTALES | Créditos: 3
IF051002 | EVALUACIÓN DE IMPACTO AMBIENTAL EN PROYECTOS FORESTALES | Créditos: 3
IF051003 | INDUSTRIAS FORESTALES DE TRANSFORMACIÓN QUÍMICA | Créditos: 3
IF051004 | MANEJO INTEGRADO DE CUENCAS FORESTALES | Créditos: 3
IF051005 | ORDENACIÓN FORESTAL | Créditos: 3
IF051006 | PLANEAMIENTO DE EMPRESAS FORESTALES | Créditos: 3
IF051007 | ELECTIVO III | Créditos: 3
IF051008 | ELECTIVO IV | Créditos: 3
IF051009 | TRABAJO DE INVESTIGACION | Créditos: 2
IF05E104 | CERTIFICACIÓN FORESTAL | Créditos: 3
IF05E110 | EVALUACIÓN DE BOSQUES Y FAUNA SILVESTRE | Créditos: 3
